HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
994,RSC,30.1437311,74.212431,Approved,Abohar,North,Abohar,PUNJAB,TRUE,152116,RSC/Abohar,India
7190,RSC,26.16218333,80.17420667,Approved,Patara,North,Ghatampur,UTTAR PRADESH,TRUE,209206,,India
5616,RSC,10.727983,77.892326,Approved,Aravakurichi,South-2,Karur,TAMIL NADU,TRUE,639205,,India
5731,RSC,10.592272,77.200254,Approved,Ganapathipuram,South-2,Udumalpet,TAMIL NADU,TRUE,642122,,India
9434,SC,12.462272,75.948927,Approved,KLR/KLR/LM1,South-2,MADIKERI,KARNATAKA,TRUE,571234,4th Block KHB Colony,India
4138,RSC,15.3332333,74.7654633,Approved,Haliyal,South-2,HALIYAL,KARNATAKA,TRUE,581329,,India
9499,RSC,8.6189691,76.9015288,Approved,POT/KOD/LM1,South-2,Kazhakkoottam,KERALA,TRUE,695584,    near Graminbank,India
9297,RSC,17.48455833,78.32712833,Approved,HYD/CHN/RP,South-1,Hyderabad,TELANGANA,TRUE,500050,lingampally,India
3441,RSC,23.1616,79.8994,Approved,Garha,Central,GARHA,MADHYA PRADESH,TRUE,482003,KRD,India
7042,RSC,10.1085,78.5973,Approved,Vengalapuram,South-2,THIRUPPATHUR,TAMIL NADU,TRUE,635653,,India
9726,RSC,18.9721166,76.3727858,Approved,AMN/SSL/LM1,West,AHILYANAGAR,MAHARASHTRA,TRUE,431128,Sirsala,India
940,RSC,29.9781155,75.3982741,Approved,Mansa,North,Mansa,PUNJAB,TRUE,151505,RSC/Mansa,India
1945,RSC,16.0114981,80.9177113,Approved,Avanigadda,South-1,AVANIGADDA,ANDHRA PRADESH,TRUE,521121,RSC/Avanigadda,India
524,RSC,17.8417578,78.6878873,Approved,Gajwel,South-1,Gajwel,TELANGANA,TRUE,502278,RSC/Gajwel,India
10005,RSC,9.905303,78.115034,Approved,PDY/VIR/LM1,South-2,PONDICHERRY,Puducherry,TRUE,605110,VILLIANUR,India
10013,RSC,29.41138,75.12132,Approved,TTU/SAH/LM1,North,Talwandi,PUNJAB,TRUE,151507,Sardulgarh,India
6472,SC,22.514667,88.273833,Approved,BLA/PCK,East,BATANAGAR,WEST BENGAL,TRUE,700142,BNR,India
6362,RSC,22.528445,92.8962,Approved,LAWNGTLAI,North East,Lawngtlai,MIZORAM,TRUE,796891,,India
9767,RSC,25.2797677,80.5880215,Approved,ART/MUR/LM1,North,Atarra,UTTAR PRADESH,TRUE,210201,Musanagar,India
1228,RSC,9.1722354,77.8696302,Approved,Kovilpatti,South-2,KOVILPATTI,TAMIL NADU,TRUE,628501,RSC/Kovilpatti,India
3078,RSC,12.047,78.4833,Approved,Harur,South-2,HARUR,TAMIL NADU,TRUE,636903,,India
9556,Hub PC,19.4240312,72.8768722,Approved,BOM/VSA/FM1,West,Palghar,MAHARASHTRA,TRUE,401208,Vasai East,India
4120,RSC,18.846965,77.53341333,Approved,Naigaon,West,Naigaon,MAHARASHTRA,TRUE,431709,,India
2410,RSC,18.89637,77.84285667,Approved,Dharmabad,West,dharmabad,MAHARASHTRA,TRUE,431809,,India
4235,RSC,18.7823383,77.713735,Approved,Bhiloli,West,Bhiloli,MAHARASHTRA,TRUE,431710,,India
6118,RSC,18.9645486,77.2970635,Approved,Kautha,West,Nanded,MAHARASHTRA,TRUE,431746,,India
3535,RSC,18.87316274,77.18330535,Approved,Kandhar,West,Kandhar,MAHARASHTRA,TRUE,431714,,India
1976,RSC,18.7082843,76.9423939,Approved,Ahmedpur,West,Ahmedpur,MAHARASHTRA,TRUE,413515,RSC/Ahmedpur,India
9839,RSC,19.1518633,77.3321733,Approved,NED/DNA/LM1,West,Nanded,MAHARASHTRA,TRUE,431603,Degloor Naka,India
6039,RSC,19.15917167,77.32875167,Approved,Nanded MIDC,West,Nanded,MAHARASHTRA,TRUE,431605,NMC,India
9937,Hub PC,19.1949213,77.2788085,Approved,NED/BES/PC1,West,Nanded,MAHARASHTRA,TRUE,431605,Bharat e square,India
2257,RSC,23.3808983,87.796652,Approved,Guskara,East,Burdwan,WEST BENGAL,TRUE,713128,RSC/Guskara,India
3081,RSC,22.2994,88.1487,Approved,Diamond Harbour1,East,Diamond Harbour,WEST BENGAL,TRUE,743331,,India
9991,RSC,19.595992,80.222941,Approved,ETA/ETA/LM1,Central,Gadchiroli,MAHARASHTRA,TRUE,442704,Etapalli,India
10056,RSC,20.357306,85.820679,Approved,BBN/KIT/LM1,East,Bhubaneswar,Odisha,TRUE,751024,KIIT,India
9715,RSC,28.515945,77.17749,Approved,DEL/MEI/LM1,North,Delhi NCR,DELHI,TRUE,110030,MEHRAULI,India
10058,Hub PC,28.8,76.12,Approved,BWN/TRD/PC1,North,Bhiwani,HARYANA,TRUE,127020,TOSAM ROAD,India
10059,Hub PC,29.51825,75.032056,Approved,SRS/JPM/PC1,North,Sirsa,HARYANA,TRUE,125055,Jagdambe Paper mile road,India
10037,SC,16.578312,75.963799,Approved,BVI/BBI/LM1,South-2,BASAVANA BAGEWADI,KARNATAKA,TRUE,586203,Basavana Bagewadi,India
10057,RSC,30.179686,78.161647,Approved,RSK/AIR/LM1,North,Rishikesh,UTTARAKHAND,TRUE,248145,Ranipokhri Airport,India
