HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
681,SC,28.13763491,77.32251998,Approved,Palwal,North,Delhi NCR,HARYANA,TRUE,121102,PLW,India
6674,RSC,22.3601326,71.2053343,Approved,Kuvadva,West,Rajkot,GUJARAT,TRUE,360023,KUA,India
10021,RSC,21.28858745,72.95008162,Approved,SRT/MPE/LM1,West,Jamnagar,GUJARAT,TRUE,394150,Madina Palace,India
6812,SC,28.685956,77.026018,Approved,DEL/MKA,North,Delhi NCR,DELHI,TRUE,110041,DEL/MKA,India
6008,RSC,18.782443,77.71229,Approved,Atkali,West,Bhiloli,MAHARASHTRA,TRUE,431710,ATI,India
10001,RSC,17.19879,82.317514,Approved,AVV/NEL/LM1,South-1,ANNAVARAM,ANDHRA PRADESH,TRUE,533449,Nellipudi,India
1303,RSC,23.0993,77.5115,Approved,Mandideep,Central,Mandideep,MADHYA PRADESH,TRUE,462046,RSC/Mandideep,India
1481,RSC,21.76,68.94,Approved,Akot,Central,Akot,MAHARASHTRA,TRUE,444101,RSC/Akot,India
4878,RSC,17.1720166,78.648678,Approved,IBRAHIMPATNAM,South-1,IBRAHIMPATNAM,TELANGANA,TRUE,501506,,India
6109,RSC,16.0443,78.5503,Approved,SRISAILAM,South-1,SRISAILAM,ANDHRA PRADESH,TRUE,518101,SRISAILAM,India
614,SC,18.544609,73.91059,Approved,PNQ/Dummy,West,PUNE,MAHARASHTRA,TRUE,999002,PNQ/Dummy,India
969,RSC,23.52511,77.808136,Approved,Vidisha,Central,VIDISHA,MADHYA PRADESH,TRUE,464001,RSC/Vidisha,India
3439,RSC,22.924181,78.7777,Approved,Gadarwara,Central,GADARWARA,MADHYA PRADESH,TRUE,487551,HWD,India
6427,RSC,23.6727,78.1222,Approved,Gyaraspur,Central,Gyaraspur,MADHYA PRADESH,TRUE,464331,,India
1958,RSC,22.7550888,78.3413599,Approved,Pipariya1,Central,Pipariya,MADHYA PRADESH,TRUE,461775,RSC/Pipariya1,India
1601,RSC,21.76,68.94,Approved,Shivpuri,Central,SHIVPURI,MADHYA PRADESH,TRUE,473995,RSC/Shivpuri,India
3605,RSC,23.604341,74.942772,Approved,Piploda,Central,PIPLODA,MADHYA PRADESH,TRUE,457331,SAA,India
1614,RSC,21.76,71.67,Approved,Damoh,Central,Damoh,MADHYA PRADESH,TRUE,470661,RSC/Damoh,India
516,SC,23.434355,45.42424,Approved,DummyHUB,East,Kolkata,WEST BENGAL,TRUE,999001,DMH,India
719,RSC,14.550632,77.108718,Approved,Kalyanadurgam,South-1,Kalyanadurgam,ANDHRA PRADESH,TRUE,515761,RSC/Kalyanadurgam,India
9746,SC,18.53878024,73.87271567,Approved,DummyTrackon02,West,PUNE,MAHARASHTRA,TRUE,999002,Dummy,India
10000,RTO,28.477997,76.909159,Approved,DEL/GGN/RT1,North,Delhi NCR,DELHI,TRUE,122505,Gurugram,India
10007,Hub PC,28.385495,76.710185,Approved,DEL/LUH/PC1,North,Jhajjar,HARYANA,TRUE,124108,Luhari,India
9945,RTO,28.6782725,77.340085,Approved,DEL/GZB/RT1,North,Delhi NCR,DELHI,TRUE,201001,Ghaziabad,India
9937,Hub PC,19.1949213,77.2788085,Approved,NED/BES/PC1,West,Nanded,MAHARASHTRA,TRUE,431605,Bharat e square,India
9936,Hub PC,21.180921,72.8335371,Approved,SRT/ADC/FM1,West,Surat,GUJARAT,TRUE,395002,ADC,India
9919,Hub PC,21.1898342,72.8741301,Approved,SRT/SRL/FM1,West,Surat,GUJARAT,TRUE,395010,Surat,India
9916,Hub PC,21.1942354,72.878036,Approved,SRT/PNG/FM1,West,Surat,GUJARAT,TRUE,395010,Punagam,India
9915,Hub PC,21.1853083,72.84287,Approved,SRT/RGR/FM1,West,Surat,GUJARAT,TRUE,395002,RGR,India
9910,Hub PC,25.2500306,82.927996,Approved,VNS/VGS/FM1,North,VARANASI,UTTAR PRADESH,TRUE,221011,Vill Ghusipur,India
9906,Hub PC,26.2218467,73.0048433,Approved,JOD/BAS/FM1,North,Jodhpur,RAJASTHAN,TRUE,342001,Basni,India
9901,Hub PC,27.1816917,78.3920033,Approved,FRO/KKT/FM1,North,Firozabad,UTTAR PRADESH,TRUE,283203,Kakrau Koti,India
9900,Hub PC,28.678955,77.015225,Approved,DEL/MDK/FM1,North,Delhi NCR,DELHI,TRUE,110041,Mundka,India
9897,Hub PC,21.0849915,72.9032296,Approved,SRT/SCN/FM1,West,Surat,GUJARAT,TRUE,394230,Sachin,India
9848,SC,28.70381,77.2675633,Approved,DEL/EDL/RT1,North,Delhi NCR,DELHI,TRUE,110053,Yamuna Vihar,India
9838,Hub PC,28.5300333,77.0897683,Approved,DEL/PC2,North,Delhi NCR,DELHI,TRUE,110037,New Delhi,India
9835,SC,12.9893483,77.7224517,Approved,BLR/HOD/IPC,South-2,BANGALORE,KARNATAKA,TRUE,560048,Hoodi,India
9829,SC,12.9226934,80.0977711,Approved,MAA/TMB/IPC,South-2,Chennai,TAMIL NADU,TRUE,600045,TAMBARAM,India
9827,SC,22.73015,72.64407167,Approved,AMD/KHE/FC1,West,Jamnagar,GUJARAT,TRUE,387560,Kheda,India
9797,SC,28.5961175,77.4030608,Approved,NDA/PNA/RT1,North,Delhi NCR,DELHI,TRUE,201307,Parthala Noida,India
9511,SC,28.4392548,77.5422183,Approved,DEL/KSN/LM1,North,Delhi NCR,DELHI,TRUE,201312,Kasna,India
9477,SC,19.2910497,72.8787223,Approved,BOM/MIR/LM1,West,Thane,MAHARASHTRA,TRUE,401107,Mira Rd East,India
